xmag,ymag,zmag,xaccel,yaccel,zaccel,xgyro,ygyro,zgyro
1958,-487,1713,-801,-494,4177,48,-109,-94
1956,-467,1697,-767,-445,4033,39,-117,-106
1956,-467,1697,-786,-414,4028,56,-101,-107
1956,-467,1697,-787,-453,3968,53,-107,-88
1956,-467,1697,-794,-373,3959,50,-119,-99
1956,-467,1697,-814,-384,4038,69,-113,-104
1956,-467,1697,-896,-394,4027,47,-119,-88
1969,-471,1673,-786,-398,4030,43,-103,-110
1969,-471,1673,-808,-436,4273,27,-93,-110
1969,-471,1673,-757,-431,4035,41,-112,-86
1969,-471,1673,-892,-420,4024,54,-110,-104
1969,-471,1673,-818,-450,4088,45,-105,-99
1969,-471,1673,-783,-443,4043,49,-109,-91
2008,-481,1717,-882,-448,3995,33,-119,-93
2008,-481,1717,-827,-422,4015,29,-110,-101
2008,-481,1717,-791,-435,4135,42,-100,-97
2008,-481,1717,-779,-385,4067,55,-120,-96
2008,-481,1717,-765,-433,4010,25,-113,-104
2008,-481,1717,-734,-432,3945,54,-119,-107
2002,-510,1741,-792,-404,3913,42,-109,-90
2002,-510,1741,-787,-287,3947,70,-109,-98
2002,-510,1741,-924,-532,4065,55,-97,-105
2002,-510,1741,-468,-410,4158,13,-117,-106
2002,-510,1741,-701,-505,3929,54,-121,-103
2002,-510,1741,-846,-442,4053,37,-125,-106
2002,-510,1741,-828,-410,3980,68,-111,-95
1998,-492,1737,-777,-500,4221,54,-119,-93
1998,-492,1737,-756,-416,3908,47,-119,-112
1998,-492,1737,-749,-415,3922,40,-109,-113
1998,-492,1737,-807,-409,4049,49,-111,-80
1998,-492,1737,-736,-462,3944,59,-115,-86
1998,-492,1737,-836,-354,4025,37,-115,-102
1972,-502,1763,-626,-414,3971,36,-103,-104
1972,-502,1763,-798,-434,4067,54,-121,-101
1972,-502,1763,-901,-445,3901,52,-111,-105
1972,-502,1763,-652,-427,4014,57,-115,-114
1972,-502,1763,-741,-422,4032,44,-125,-119
1972,-502,1763,-596,-496,3919,43,-101,-119
1972,-502,1763,-689,-417,4018,34,-114,-105
1965,-511,1731,-564,-388,4231,52,-131,-100
1965,-511,1731,-850,-318,4059,42,-121,-103
1965,-511,1731,-865,-390,4089,54,-108,-109
1965,-511,1731,-1089,-411,3926,68,-116,-106
1965,-511,1731,-787,-491,3980,51,-108,-106
1965,-511,1731,-745,-461,4052,69,-115,-90
1963,-493,1759,-913,-373,4066,48,-106,-89
1963,-493,1759,-610,-373,3954,57,-118,-97
1963,-493,1759,-636,-448,3988,51,-117,-116
1963,-493,1759,-963,-391,3961,46,-108,-100
1963,-493,1759,-466,-490,4307,55,-133,-99
1963,-493,1759,-951,-343,3933,34,-117,-98
1949,-490,1729,-730,-346,4020,39,-118,-101
1949,-490,1729,-964,-458,3899,60,-111,-115
1949,-490,1729,-804,-382,4013,48,-116,-83
1949,-490,1729,-714,-426,3984,48,-124,-100
1949,-490,1729,-886,-492,4056,35,-124,-104
1949,-490,1729,-857,-423,4049,38,-119,-109
2006,-506,1689,-753,-465,4137,46,-108,-119
2006,-506,1689,-743,-347,3949,64,-112,-86
2006,-506,1689,-772,-416,4213,70,-136,-86
2006,-506,1689,-807,-381,4056,53,-117,-89
2006,-506,1689,-633,-413,4027,42,-110,-104
2006,-506,1689,-842,-428,3980,47,-124,-114
2006,-506,1689,-860,-426,4079,55,-110,-92
1981,-500,1725,-802,-446,4067,41,-118,-92
1981,-500,1725,-1038,-378,3901,50,-107,-95
1981,-500,1725,-726,-406,4031,40,-123,-103
1981,-500,1725,-816,-388,3913,54,-124,-112
1981,-500,1725,-600,-345,3816,40,-122,-121
1981,-500,1725,-1052,-443,3925,54,-124,-120
1990,-499,1736,-1275,-499,3990,52,-110,-70
1990,-499,1736,-975,-429,3941,46,-108,-74
1990,-499,1736,-695,-449,4163,54,-132,-79
1990,-499,1736,-649,-441,4155,31,-127,-97
1990,-499,1736,-966,-426,3871,51,-111,-105
1990,-499,1736,-811,-419,3891,57,-116,-106
1960,-491,1728,-803,-473,4011,38,-115,-112
1960,-491,1728,-879,-414,3856,36,-120,-113
1960,-491,1728,-304,-461,3966,39,-125,-113
1960,-491,1728,-2056,-314,3751,26,-148,-111
1960,-491,1728,-548,-536,4402,59,-92,-123
1960,-491,1728,-911,-515,3825,57,-95,-91
1982,-497,1697,-855,-397,3779,68,-113,-84
1982,-497,1697,-569,-408,3800,59,-106,-89
1982,-497,1697,-532,-482,3974,60,-103,-114
1982,-497,1697,-640,-438,3866,51,-116,-98
1982,-497,1697,-698,-444,4041,66,-110,-101
1982,-497,1697,-776,-430,3836,41,-114,-99
1982,-495,1692,-824,-447,3969,54,-102,-103
1982,-495,1692,-1053,-395,3873,36,-112,-92
1982,-495,1692,-677,-557,3981,59,-117,-95
1982,-495,1692,-1165,-637,4711,33,-149,-87
1982,-495,1692,-962,-602,4291,79,-97,-97
1982,-495,1692,-1234,-630,4259,42,-120,-97
1982,-495,1692,-809,-596,4210,46,-129,-100
1967,-484,1722,-823,-555,4019,58,-115,-125
1967,-484,1722,-874,-460,4003,50,-127,-106
1967,-484,1722,-656,-448,4070,32,-141,-80
1967,-484,1722,-674,-356,3831,40,-118,-93
1967,-484,1722,-785,-375,3936,47,-109,-94
1967,-484,1722,-908,-390,3980,35,-115,-104
1972,-462,1728,-924,-446,3748,44,-115,-105
1972,-462,1728,-734,-452,3870,33,-114,-88
1972,-462,1728,-917,-419,3965,47,-124,-88
1972,-462,1728,-722,-383,4007,37,-126,-97
1972,-462,1728,-831,-437,4028,53,-121,-103
1972,-462,1728,-740,-420,4019,39,-121,-112
1975,-494,1747,-738,-420,3856,67,-114,-85
1975,-494,1747,-842,-448,4085,57,-119,-95
1975,-494,1747,-755,-481,4016,53,-120,-98
1975,-494,1747,-833,-403,4005,69,-118,-99
1975,-494,1747,-816,-406,4069,42,-116,-106
1975,-494,1747,-887,-403,3913,43,-113,-96
1941,-493,1748,-828,-378,4022,53,-109,-84
1941,-493,1748,-856,-374,3928,36,-120,-91
1941,-493,1748,-729,-437,4015,58,-124,-104
1941,-493,1748,-690,-434,4099,55,-120,-99
1941,-493,1748,-1015,-383,3937,50,-115,-92
1941,-493,1748,-653,-441,4067,54,-113,-94
1941,-493,1748,-777,-425,3900,43,-114,-103
1989,-503,1726,-845,-443,3960,59,-110,-114
1989,-503,1726,-855,-437,3896,59,-109,-121
1989,-503,1726,-863,-391,4003,47,-118,-127
1989,-503,1726,-753,-389,4005,48,-123,-116
