xmag,ymag,zmag,xaccel,yaccel,zaccel,xgyro,ygyro,zgyro
-1093,-1272,7231,-281,275,-4052,37,-115,-100
-1108,-1250,7247,-254,298,-4068,38,-103,-106
-1108,-1250,7247,-180,312,-4016,60,-109,-125
-1108,-1250,7247,-227,349,-4030,43,-117,-137
-1108,-1250,7247,-192,344,-4039,56,-108,-97
-1108,-1250,7247,-482,356,-4018,58,-114,-120
-1108,-1250,7247,-248,380,-4059,47,-104,-125
-1108,-1250,7247,-236,348,-4022,42,-118,-109
-1108,-1250,7247,-309,340,-4000,34,-112,-119
-1108,-1250,7247,-307,355,-4044,53,-110,-133
-1095,-1267,7255,-241,355,-4031,40,-106,-109
-1095,-1267,7255,-215,370,-4057,47,-110,-112
-1095,-1267,7255,-232,340,-4086,40,-96,-121
-1095,-1267,7255,-233,349,-4071,49,-106,-118
-1095,-1267,7255,-199,348,-4035,41,-113,-116
-1095,-1267,7255,-216,354,-4041,33,-109,-122
-1095,-1267,7255,-195,349,-4065,44,-118,-118
-1095,-1267,7255,-23,290,-4059,24,-114,-131
-1095,-1267,7255,-259,335,-4150,25,-103,-135
-1080,-1267,7243,-229,343,-4000,42,-105,-91
-1080,-1267,7243,-223,336,-4026,52,-106,-101
-1080,-1267,7243,-205,375,-4057,48,-122,-119
-1080,-1267,7243,-234,358,-4083,38,-110,-111
-1080,-1267,7243,-202,362,-3957,39,-114,-123
-1080,-1267,7243,-223,311,-4108,37,-99,-117
-1080,-1267,7243,-245,325,-3972,43,-108,-105
-1080,-1267,7243,-263,331,-4042,50,-114,-119
-1080,-1267,7243,-236,366,-4027,52,-112,-112
-1072,-1252,7281,-207,311,-4011,35,-112,-122
-1072,-1252,7281,-200,402,-4101,43,-110,-130
-1072,-1252,7281,-243,373,-3855,41,-113,-131
-1072,-1252,7281,-179,389,-4062,55,-113,-107
-1072,-1252,7281,-226,306,-4089,29,-114,-127
-1072,-1252,7281,-208,282,-4078,49,-110,-116
-1072,-1252,7281,-210,304,-4054,54,-109,-112
-1072,-1252,7281,-255,415,-4398,41,-115,-117
-1072,-1252,7281,-294,460,-3770,59,-123,-122
-1072,-1252,7281,-446,324,-3802,56,-103,-114
-1095,-1266,7238,-291,263,-4122,41,-111,-120
-1095,-1266,7238,-227,129,-4058,30,-100,-110
-1095,-1266,7238,-45,479,-3892,33,-109,-112
-1095,-1266,7238,-187,451,-4178,38,-118,-131
-1095,-1266,7238,-128,542,-3853,57,-120,-136
-1095,-1266,7238,-214,372,-3930,72,-115,-111
-1095,-1266,7238,-322,226,-4086,37,-118,-113
-1095,-1266,7238,-429,223,-4034,58,-115,-112
-1095,-1266,7238,-429,351,-3824,25,-97,-96
-1082,-1249,7245,-248,376,-4086,10,-112,-122
-1082,-1249,7245,-80,352,-4284,35,-88,-134
-1082,-1249,7245,-32,374,-3955,26,-107,-111
-1082,-1249,7245,-200,415,-4044,52,-114,-121
-1082,-1249,7245,-304,380,-4082,52,-102,-126
-1082,-1249,7245,-321,283,-3879,42,-110,-113
-1082,-1249,7245,-375,304,-3989,41,-116,-118
-1082,-1249,7245,-319,217,-4083,53,-116,-131
