xmag,ymag,zmag,xaccel,yaccel,zaccel,xgyro,ygyro,zgyro
918,-23,1625,-942,-426,4284,-667,418,-9911
921,-36,1614,-875,-274,4097,-220,-3067,323
921,-36,1614,-870,-252,4026,169,-291,-181
921,-36,1614,-846,-242,4035,181,-235,-2
921,-36,1614,-736,-194,4027,237,-252,-60
921,-36,1614,-700,-172,3957,210,-263,-105
921,-36,1614,-695,-183,3860,237,-263,-123
836,-88,1584,-659,-193,3818,246,-280,-138
836,-88,1584,-677,-230,3856,247,-280,-143
836,-88,1584,-696,-200,3932,189,-270,-164
836,-88,1584,782,676,4265,53,-267,-122
836,-88,1584,-913,707,3415,27,-232,-99
836,-88,1584,-687,1,3740,-43,-280,-128
778,-141,1543,-765,-433,3819,-34,-507,-124
778,-141,1543,-745,-471,3965,-45,-230,-107
778,-141,1543,-734,-510,4034,-46,-225,-108
778,-141,1543,-724,-473,4152,-11,-212,-106
778,-141,1543,-717,-459,4135,34,-183,-96
778,-141,1543,-723,-389,4136,67,-169,-100
778,-141,1543,-766,-368,4130,92,-145,-63
718,-130,1638,-537,-265,4148,118,-141,-71
718,-130,1638,-794,-184,4153,138,-127,-84
718,-130,1638,-762,-106,4153,167,-139,-90
718,-130,1638,-759,-71,4209,144,-136,-116
718,-130,1638,-954,-17,4273,169,-115,-144
718,-130,1638,-726,102,4284,130,-103,-176
725,-161,1607,-684,150,4305,109,-83,-203
725,-161,1607,-735,185,4287,74,-50,-211
725,-161,1607,-684,286,4202,57,-48,-256
725,-161,1607,-715,320,4098,74,-27,-294
725,-161,1607,-764,266,4130,101,-8,-327
725,-161,1607,-697,235,4135,157,3,-299
734,-145,1585,-693,251,4077,195,16,-324
734,-145,1585,-704,170,3984,200,22,-326
734,-145,1585,-704,76,4018,152,18,-321
734,-145,1585,-632,22,3791,119,19,-301
734,-145,1585,-747,6,3935,-2,8,-288
734,-145,1585,-737,-95,3956,-61,6,-261
734,-145,1585,-771,-87,3830,-114,-5,-230
707,-152,1586,-859,-201,3871,-147,-9,-217
707,-152,1586,-897,-245,3789,-180,-23,-186
707,-152,1586,-967,-345,3736,-196,-23,-147
707,-152,1586,-1001,-429,3692,-168,-38,-108
707,-152,1586,-998,-590,3705,-166,-49,-42
707,-152,1586,-976,-614,3753,-100,-67,19
744,-60,1635,-1005,-619,3763,-63,-86,85
744,-60,1635,-962,-606,3820,-7,-82,175
744,-60,1635,-955,-589,3937,-6,-93,241
744,-60,1635,-943,-539,3964,-3,-84,292
744,-60,1635,-919,-495,4022,-14,-78,326
744,-60,1635,-911,-455,4047,-14,-91,372
789,-120,1639,-900,-442,4086,-46,-81,417
789,-120,1639,-905,-346,4088,-45,-82,444
789,-120,1639,-830,-352,4233,-69,-72,469
789,-120,1639,-535,-359,4234,-80,-82,490
789,-120,1639,-729,-398,4263,-132,-74,498
789,-120,1639,-727,-405,4252,-180,-85,525
789,-120,1627,-700,-402,4173,-222,-101,545
932,-92,1627,-750,-468,4072,-227,-100,624
932,-92,1627,-791,-529,4071,-241,-120,650
932,-92,1627,-859,-551,4032,-194,-132,677
