xmag,ymag,zmag,xaccel,yaccel,zaccel,xgyro,ygyro,zgyro
775,-2860,-6951,76,230,-4098,61,-104,-123
804,-2869,-6901,57,248,-4102,26,-110,-132
804,-2869,-6901,54,256,-4085,44,-105,-140
804,-2869,-6901,119,275,-4064,34,-109,-96
804,-2869,-6901,69,294,-4096,30,-112,-114
804,-2869,-6901,35,251,-4090,58,-103,-118
804,-2869,-6901,7,213,-4000,37,-99,-109
804,-2869,-6901,80,286,-4096,32,-115,-122
804,-2869,-6901,68,510,-4140,26,-85,-135
804,-2869,-6901,47,231,-4042,31,-102,-109
760,-2858,-6912,8,238,-4036,43,-112,-112
760,-2858,-6912,56,229,-4070,48,-120,-138
760,-2858,-6912,51,247,-4138,41,-87,-147
760,-2858,-6912,76,244,-4017,57,-91,-132
760,-2858,-6912,70,248,-4146,48,-107,-110
760,-2858,-6912,58,502,-4026,58,-118,-123
760,-2858,-6912,64,224,-4087,57,-101,-123
760,-2858,-6912,16,238,-4028,68,-102,-112
760,-2858,-6912,54,248,-4077,36,-116,-125
765,-2872,-6941,50,260,-4055,35,-96,-130
765,-2872,-6941,9,247,-4019,43,-103,-101
765,-2872,-6941,48,250,-4104,22,-114,-124
765,-2872,-6941,76,248,-4025,43,-111,-126
765,-2872,-6941,87,239,-4022,19,-105,-100
765,-2872,-6941,-218,261,-4089,34,-112,-119
765,-2872,-6941,45,255,-4149,51,-111,-127
765,-2872,-6941,24,208,-4077,36,-116,-109
765,-2872,-6941,55,264,-4140,52,-110,-117
774,-2891,-6908,66,508,-4047,52,-114,-115
774,-2891,-6908,23,255,-4020,38,-111,-116
774,-2891,-6908,77,211,-4066,47,-108,-114
774,-2891,-6908,55,509,-4060,28,-119,-126
774,-2891,-6908,58,288,-4126,45,-115,-127
774,-2891,-6908,121,281,-4046,50,-117,-115
774,-2891,-6908,47,265,-4146,41,-126,-126
774,-2891,-6908,39,275,-4132,30,-90,-128
774,-2891,-6908,-12,216,-4021,50,-113,-104
774,-2891,-6908,56,224,-3958,38,-117,-119
795,-2883,-6928,48,212,-4116,30,-110,-125
795,-2883,-6928,74,274,-4147,61,-104,-115
795,-2883,-6928,42,240,-4165,37,-109,-131
795,-2883,-6928,96,266,-4044,31,-95,-127
795,-2883,-6928,112,286,-3986,56,-104,-106
795,-2883,-6928,113,267,-4032,42,-108,-115
795,-2883,-6928,69,267,-3992,23,-111,-119
795,-2883,-6928,-8,250,-4108,46,-110,-107
795,-2883,-6928,250,201,-4022,33,-114,-123
791,-2888,-6923,18,142,-4104,39,-121,-109
791,-2888,-6923,127,287,-4197,48,-120,-101
791,-2888,-6923,114,269,-4108,46,-109,-111
791,-2888,-6923,92,362,-3981,49,-107,-115
791,-2888,-6923,94,244,-4001,32,-96,-110
791,-2888,-6923,41,242,-4062,54,-110,-124
791,-2888,-6923,-1,183,-3924,25,-93,-135
791,-2888,-6923,-25,247,-4069,52,-105,-98
791,-2888,-6923,39,171,-4066,50,-111,-112
781,-2866,-6946,76,240,-4077,56,-108,-140
781,-2866,-6946,93,265,-4027,36,-113,-104
781,-2866,-6946,78,336,-4070,32,-114,-102
781,-2866,-6946,79,287,-4008,36,-109,-109
781,-2866,-6946,55,261,-3852,39,-117,-99
781,-2866,-6946,18,200,-4042,42,-105,-98
781,-2866,-6946,51,245,-4061,38,-111,-112
781,-2866,-6946,49,195,-4070,46,-113,-94
781,-2866,-6946,75,253,-3994,33,-95,-111
773,-2878,-6972,75,263,-4081,51,-96,-104
773,-2878,-6972,70,278,-4044,51,-106,-105
773,-2878,-6972,50,274,-4073,35,-111,-103
773,-2878,-6972,41,503,-4052,25,-109,-104
773,-2878,-6972,36,246,-4013,48,-107,-116
773,-2878,-6972,43,212,-4147,44,-110,-116
773,-2878,-6972,57,195,-4093,53,-107,-110
773,-2878,-6972,61,292,-4176,60,-105,-125
773,-2878,-6972,67,319,-4063,54,-111,-131
780,-2850,-6938,27,320,-3804,54,-120,-131
780,-2850,-6938,15,219,-3871,40,-119,-122
780,-2850,-6938,30,364,-4054,41,-121,-134
780,-2850,-6938,-29,261,-3993,8,-108,-122
780,-2850,-6938,209,453,-4147,27,-127,-134
780,-2850,-6938,196,212,-3969,16,-74,-97
780,-2850,-6938,65,357,-4007,78,-78,-74
780,-2850,-6938,-1,301,-4191,36,-125,-70
780,-2850,-6938,109,267,-4215,33,-115,-88
780,-2829,-6943,50,182,-4313,48,-120,-102
792,-2829,-6943,-7,433,-4294,43,-101,-95
792,-2829,-6943,-84,20,-4251,53,-142,-94
792,-2829,-6943,687,-917,-4434,98,-183,-162
792,-2829,-6943,-1511,1933,-5802,-37,158,-131
792,-2829,-6943,409,453,-465,128,-70,167
792,-2829,-6943,1714,-138,-6279,0,284,43
792,-2829,-6943,536,-3139,-6836,617,147,-307
792,-2829,-6943,103,1765,-4521,59,-127,-141
792,-2829,-6943,-327,-962,-1718,129,-328,-136
777,-2887,-6945,725,353,-1469,48,-103,97
777,-2887,-6945,340,384,-6430,59,-163,-238
777,-2887,-6945,17529,12049,6587,-142,366,-610
777,-2887,-6945,1847,6203,-11804,3,68,-132
777,-2887,-6945,1702,-1456,-1803,-5,-22,-381
777,-2887,-6945,-405,791,-3199,-28,-215,-445
777,-2887,-6945,266,1380,-5084,88,-286,-330
777,-2887,-6945,-150,28,-4369,60,-181,-230
777,-2887,-6945,204,596,-3689,50,-53,-122
807,-2842,-6915,-66,-345,-4294,40,-118,-87
807,-2842,-6915,47,492,-4068,60,-134,-63
807,-2842,-6915,-255,251,-4026,53,-97,-63
807,-2842,-6915,-55,287,-4085,38,-85,-75
807,-2842,-6915,21,163,-4052,25,-97,-74
807,-2842,-6915,219,221,-4246,-1,-139,-97
