xmag,ymag,zmag,xaccel,yaccel,zaccel,xgyro,ygyro,zgyro
2211,-1448,1789,-1070,-1514,3847,-637,-516,932
2226,-1435,1817,-1118,-1560,4006,-645,-262,947
2226,-1435,1817,-1223,-1667,4050,-613,-502,989
2226,-1435,1817,-1144,-1748,4030,-566,-478,1025
2226,-1435,1817,-1102,-1728,4071,-539,-456,1069
2226,-1435,1817,-1049,-1701,3863,-510,-443,1106
2226,-1435,1817,-1019,-1633,4088,-462,-407,1124
2136,-1547,1728,-1042,-1618,4069,-459,-388,1146
2136,-1547,1728,-1157,-1551,3889,-437,-362,1187
2136,-1547,1728,-1170,-1610,3908,-429,-339,1192
2136,-1547,1728,-1152,-1590,3836,-449,-323,1199
2136,-1547,1728,-1198,-1572,3858,-460,-293,1230
2136,-1547,1728,-1168,-1516,3877,-520,-281,1224
2034,-1720,1724,-1268,-1488,3888,-531,-257,1231
2034,-1720,1724,-1223,-1509,3764,-600,-245,1227
2034,-1720,1724,-1202,-1492,3677,-616,-244,1237
2034,-1720,1724,-1434,-1437,3447,-655,-248,1244
2034,-1720,1724,-1207,-1405,3494,-647,-256,1242
2034,-1720,1724,-1144,-1450,3483,-627,-259,1256
2034,-1720,1724,-1242,-1398,3421,-636,-274,1260
1997,-1798,1654,-1343,-1434,3308,-609,-293,1262
1997,-1798,1654,-1417,-1347,3299,-553,-298,1273
1997,-1798,1654,-1346,-1340,3257,-542,-311,1025
1997,-1798,1654,-1323,-1301,3232,-510,-346,1248
1997,-1798,1654,-1376,-1360,3293,-511,-357,1265
1997,-1798,1654,-1416,-1388,3330,-484,-373,1282
1852,-1872,1563,-1340,-1352,3300,-498,-388,1291
1852,-1872,1563,-1291,-1295,3138,-497,-416,1277
1852,-1872,1563,-1333,-1291,3431,-502,-414,1279
1852,-1872,1563,-1286,-1262,3453,-476,-447,1285
1852,-1872,1563,-1326,-1322,3484,-503,-464,1292
1852,-1872,1563,-1478,-1316,3750,-498,-484,1281
1681,-2010,1481,-1529,-1241,3659,-508,-496,1272
1681,-2010,1481,-1477,-1209,3587,-497,-507,1032
1681,-2010,1481,-1525,-1233,3401,-485,-521,1279
1681,-2010,1481,-1506,-1262,3469,-426,-549,1252
1681,-2010,1481,-1513,-1147,3526,-428,-557,1249
1681,-2010,1481,-1471,-1109,3508,-419,-593,1226
1681,-2010,1481,-1541,-1099,3385,-378,-620,1213
1468,-2089,1413,-1491,-1154,3436,-362,-640,1205
1468,-2089,1413,-1505,-1123,3626,-382,-653,1175
1468,-2089,1413,-1542,-1082,3876,-384,-655,1160
1468,-2089,1413,-1663,-995,3935,-402,-635,1174
1468,-2089,1413,-1753,-993,3672,-443,-621,1156
1468,-2089,1413,-2024,-1134,3760,-455,-621,1143
1188,-2079,1315,-1599,-1088,3800,-472,-602,1128
1188,-2079,1315,-2048,-1016,3884,-501,-588,1097
1188,-2079,1315,-1897,-1097,3825,-544,-552,1077
1188,-2079,1315,-1935,-1167,3554,-549,-531,1095
1188,-2079,1315,-1957,-1193,3344,-551,-529,1100
