xmag,ymag,zmag,xaccel,yaccel,zaccel,xgyro,ygyro,zgyro
2928,-1298,2912,-2425,-115,3619,102,1294,241
2960,-1319,2903,-2519,-10,3602,110,1256,239
2960,-1319,2903,-2120,32,3544,100,1237,216
2960,-1319,2903,-2044,52,3295,97,1229,183
2960,-1319,2903,-1861,199,3287,92,1224,200
2960,-1319,2903,-1525,207,2932,99,1214,155
2960,-1319,2903,-1331,241,2555,145,1222,126
3161,-1421,3412,-1037,173,2154,147,1204,118
3161,-1421,3412,-832,-13,1808,124,1154,79
3161,-1421,3412,-709,53,1357,83,1093,48
3161,-1421,3412,-637,79,944,-3,1013,20
3161,-1421,3412,-493,299,532,-87,927,-37
3161,-1421,3412,-317,266,183,-206,832,-84
3230,-1495,3875,-302,96,-430,-233,713,-111
3230,-1495,3875,-316,-80,-926,-204,527,-112
3230,-1495,3875,-193,-87,-1257,-200,344,-106
3230,-1495,3875,-205,-151,-1587,-178,133,-101
3230,-1495,3875,-318,-236,-1658,-102,-74,-83
3230,-1495,3875,-183,-305,-1532,-72,-264,-42
3230,-1495,3875,-91,-358,-1165,-28,-440,-30
3252,-1483,3956,-57,-197,-1028,-2,-600,-32
3252,-1483,3956,-53,-115,-920,-42,-726,-32
3252,-1483,3956,-20,-168,-776,-93,-873,-48
3252,-1483,3956,29,-259,-563,-130,-1010,-79
3252,-1483,3956,139,-349,-487,-188,-1145,-92
3252,-1483,3956,214,-330,-382,-242,-1282,-94
3246,-1505,3643,254,-300,-338,-275,-1444,-66
3246,-1505,3643,378,-415,-141,-287,-1605,-65
3246,-1505,3643,457,-617,155,-298,-1778,-62
3246,-1505,3643,583,-727,456,-359,-1932,-52
3246,-1505,3643,645,-757,843,-361,-2124,-43
3246,-1505,3643,845,-573,1373,-405,-2306,-61
3080,-1467,3010,846,-548,1927,-440,-2457,-66
3080,-1467,3010,791,-663,2649,-436,-2576,-69
3080,-1467,3010,753,-739,3483,-372,-2676,-55
3080,-1467,3010,625,-615,3974,-304,-2746,-2
3080,-1467,3010,554,-281,4635,-224,-2782,2
3080,-1467,3010,458,-176,5455,-116,-2810,-9
3080,-1467,3010,296,-296,5952,250,-2767,12
2539,-1408,2152,124,-593,6419,75,-2707,59
2539,-1408,2152,49,-659,6827,72,-2632,89
2539,-1408,2152,-3,-505,7176,8,-2550,96
2539,-1408,2152,32,-344,7536,-142,-2442,124
2539,-1408,2152,-11,-323,7789,-180,-2322,107
2539,-1408,2152,-96,-340,7944,-158,-2227,102
1783,-1403,1607,-153,-476,7928,-114,-2131,122
1783,-1403,1607,-314,-534,8026,-110,-2028,128
1783,-1403,1607,-429,-401,8123,-90,-1906,143
1783,-1403,1607,-594,-318,8075,-48,-1770,142
1783,-1403,1607,-708,-316,7965,12,-1615,152
1783,-1403,1607,-821,-259,7876,76,-1463,167
1188,-1410,1332,-937,-311,7896,132,-1302,185
1188,-1410,1332,-1021,-327,8019,144,-1142,194
1188,-1410,1332,-1332,-324,8414,109,-987,212
1188,-1410,1332,-1556,-464,8960,51,-774,180
1188,-1410,1332,-1689,-666,9322,23,-512,192
1188,-1410,1332,-2047,-853,9579,57,-244,234
1188,-1410,1332,-1830,-1102,9625,128,44,268
887,-1440,1278,-1798,-1256,9784,199,319,327
887,-1440,1278,-1714,-1272,10012,241,595,422
887,-1440,1278,-1490,-1342,10220,258,873,460
887,-1440,1278,-1250,-1422,10264,243,1168,499
887,-1440,1278,-1053,-1423,10188,30,1433,540
887,-1440,1278,-809,-1277,10060,274,1672,571
1275,-1568,1382,-761,-1213,10085,295,1913,590
1275,-1568,1382,-191,-1153,9955,308,2127,613
1275,-1568,1382,115,-1211,9779,273,2335,621
1275,-1568,1382,366,-1292,9596,219,2518,628
1275,-1568,1382,608,-1228,9268,153,2685,644
1275,-1568,1382,825,-1157,8853,86,2829,654
2092,-1789,1862,1042,-1056,8456,31,2969,654
2092,-1789,1862,1249,-951,7779,-43,3085,647
2092,-1789,1862,1517,-771,7221,-88,3178,643
2092,-1789,1862,1850,-541,6605,-139,3262,649
2092,-1789,1862,2098,-268,5990,-210,3302,627
2092,-1789,1862,2237,-23,5263,-236,3313,601
2916,-2017,2830,2271,105,4496,-261,3294,571
2916,-2017,2830,2236,202,3709,-260,3233,537
2916,-2017,2830,2135,237,3212,-276,3154,495
2916,-2017,2830,2045,303,2658,-265,3045,446
2916,-2017,2830,1813,280,2125,-303,2912,393
2916,-2017,2830,1650,376,1710,-366,2786,348
2916,-2017,2830,1347,415,1280,-450,2651,305
3210,-2235,3966,1140,492,641,-508,2516,279
3210,-2235,3966,879,743,-23,-590,2366,231
3210,-2235,3966,659,507,-603,-672,2194,179
3210,-2235,3966,515,549,-1125,-744,2026,146
3210,-2235,3966,329,627,-1707,-778,1826,169
3210,-2235,3966,209,623,-2475,-783,1610,154
3131,-2345,4764,82,650,-3092,-719,1346,109
3131,-2345,4764,-41,749,-3659,-672,1070,83
3131,-2345,4764,-207,755,-4122,-613,772,78
3131,-2345,4764,-339,665,-4484,-542,451,86
3131,-2345,4764,-321,663,-4600,-491,140,69
3131,-2345,4764,-287,663,-4391,-410,-200,33
3022,-2493,4952,-201,611,-4141,-322,-512,-20
3022,-2493,4952,-184,588,-3881,-340,-790,-45
3022,-2493,4952,-134,590,-3609,-317,-1056,-86
3022,-2493,4952,-58,530,-3435,-328,-1289,-108
3022,-2493,4952,62,386,-3107,-358,-1530,-154
3022,-2493,4952,237,233,-2725,-355,-1754,-197
3122,-2522,4561,423,95,-2245,-348,-1967,-234
3122,-2522,4561,628,-64,-1917,-337,-2170,-253
3122,-2522,4561,776,-170,-1292,-296,-2358,-243
3122,-2522,4561,1008,-328,-1110,-303,-2530,-253
3122,-2522,4561,1310,-408,-560,-329,-2748,-268
3122,-2522,4561,1526,-460,-72,-321,-2923,-276
3122,-2522,4561,1695,-527,353,-350,-3091,-281
3104,-2479,3620,1920,-654,801,-355,-3254,-282
3104,-2479,3620,2120,-774,1335,-364,-3430,-294
3104,-2479,3620,2277,-858,2000,-348,-3580,-295
3104,-2479,3620,2424,-930,2710,-320,-3720,-306
3104,-2479,3620,2534,-1108,3402,-248,-3839,-31
3104,-2479,3620,2761,-1339,4227,-221,-3945,-220
2635,-2329,2448,2904,-1454,5267,-239,-4026,-209
2635,-2329,2448,2969,-1546,6111,-174,-4064,-163
2635,-2329,2448,2770,-1662,7080,-109,-4046,-116
2635,-2329,2448,2696,-1914,8520,-95,-3939,-33
2635,-2329,2448,2318,-2330,9835,-111,-3743,84
2635,-2329,2448,1649,-2497,10691,-79,-3458,188
1494,-2232,1531,1059,-2363,11230,-6,-3164,305
1494,-2232,1531,323,-2007,11880,44,-2840,406
1494,-2232,1531,-148,-1733,12040,72,-2462,476
1494,-2232,1531,-606,-1653,12171,98,-2062,536
1494,-2232,1531,-1213,-1393,12293,73,-1674,590
1494,-2232,1531,-1555,-1167,12143,82,-1300,637
1494,-2232,1531,-1866,-1042,11811,108,-943,687
652,-2258,1357,-2049,-865,11387,74,-622,698
652,-2258,1357,-2132,-662,11051,30,-315,677
652,-2258,1357,-2165,-641,10822,20,-48,656
652,-2258,1357,-1779,-1039,9806,2,176,600
652,-2258,1357,-1990,-689,10476,240,402,630
652,-2258,1357,-1715,-960,10075,-6,640,602
567,-2301,1290,-1527,-856,10719,37,913,606
567,-2301,1290,-1584,-1106,10400,90,1150,611
567,-2301,1290,-1381,-1267,10155,166,1426,632
