xmag,ymag,zmag,xaccel,yaccel,zaccel,xgyro,ygyro,zgyro
3080,-2389,3276,-3188,428,2015,-851,404,-1266
3062,-2379,3280,-3034,224,1908,-847,393,-1306
3062,-2379,3280,-2979,3,1788,-866,365,-1356
3062,-2379,3280,-3003,-179,1750,-833,345,-1393
3062,-2379,3280,-2977,-365,1528,-854,306,-1399
3062,-2379,3280,-2890,-540,1397,-827,251,-1448
3062,-2379,3280,-2913,-737,1398,-816,197,-1483
3208,-1826,3383,-2886,-938,1389,-834,162,-1518
3208,-1826,3383,-2867,-1255,1452,-853,142,-1547
3208,-1826,3383,-2807,-1497,1385,-832,112,-1519
3208,-1826,3383,-2575,-1768,1434,-762,91,-1513
3208,-1826,3383,-2734,-1926,1549,-761,76,-1508
3208,-1826,3383,-2673,-2055,1556,-739,56,-1492
3151,-1202,3494,-2677,-2165,1536,-701,73,-1454
3151,-1202,3494,-2625,-2331,1579,-702,83,-1446
3151,-1202,3494,-2737,-2469,1603,-686,86,-1433
3151,-1202,3494,-2552,-2552,1698,-688,98,-1415
3151,-1202,3494,-2482,-2670,1653,-710,134,-1386
3151,-1202,3494,-2422,-2738,1566,-711,164,-1341
3151,-1202,3494,-2371,-2903,1657,-724,176,-1322
3051,-654,3654,-2327,-3020,1529,-728,206,-1293
3051,-654,3654,-2343,-3149,1432,-719,207,-1255
3051,-654,3654,-2079,-3303,1125,-726,243,-1174
3051,-654,3654,-2553,-3257,-105,-710,254,-1181
3051,-654,3654,-2865,-3526,724,-693,163,-1107
3051,-654,3654,-2232,-2988,1202,-670,83,-1058
2918,-242,3852,-2014,-3096,327,-630,128,-1053
2918,-242,3852,-1944,-2988,421,-621,68,-1012
2918,-242,3852,-1874,-2909,462,-616,18,-1037
2918,-242,3852,-1791,-2911,449,-635,-31,-1049
2918,-242,3852,-1678,-2952,289,-643,-66,-1044
2918,-242,3852,-1600,-3060,344,-627,-126,-1058
2695,137,4035,-1539,-3115,286,-607,-170,-1066
2695,137,4035,-1436,-3106,193,-609,-205,-1103
2695,137,4035,-1458,-3022,262,-597,-249,-1138
2695,137,4035,-1248,-3188,355,-613,-277,-1174
2695,137,4035,-1227,-3336,372,-592,-276,-1192
2695,137,4035,-1208,-3600,456,-578,-292,-1182
2695,137,4035,-1185,-3749,744,-557,-303,-1172
2431,493,4182,-1195,-3869,563,-547,-290,-1133
2431,493,4182,-1115,-3929,533,-496,-286,-1116
2431,493,4182,-1136,-3952,656,-493,-267,-1104
2431,493,4182,-1096,-3998,738,-483,-245,-1095
2431,493,4182,-1055,-4017,594,-464,-203,-1088
2431,493,4182,-1174,-4194,495,-461,-184,-782
2150,742,4282,-1057,-4041,177,-477,-144,-1008
2150,742,4282,-954,-4142,12,-479,-135,-1009
2150,742,4282,-977,-4363,265,-460,-149,-996
2150,742,4282,-877,-4534,193,-500,-150,-980
2150,742,4282,-664,-4768,399,-514,-148,-946
2150,742,4282,-643,-4950,421,-563,-118,-895
1823,957,4386,-527,-4887,280,-604,-111,-826
1823,957,4386,-492,-4894,207,-595,-101,-781
1823,957,4386,-658,-5052,14,-576,-61,-748
1823,957,4386,-457,-5031,-91,-534,-82,-660
1823,957,4386,-615,-4761,-172,-495,-82,-611
1823,957,4386,-580,-4707,-238,-410,-80,-534
1823,957,4386,-575,-5019,-241,-277,-72,-422
1615,1093,4659,-438,-4784,-240,-224,-92,-370
1615,1093,4659,-570,-4734,0,-174,-51,-369
1615,1093,4659,-595,-4615,-229,-181,-62,-308
1615,1093,4659,-243,-5349,-667,-158,-85,-262
1615,1093,4659,-1419,-4744,-590,-128,-104,-244
1615,1093,4659,-1949,-4579,116,-40,-39,-174
1586,1114,4733,-3545,-3163,-1254,-161,-203,-68
1586,1114,4733,1182,-6724,-1114,-138,209,-104
1586,1114,4733,-2326,-3188,-357,-28,-81,-90
1586,1114,4733,-222,-3842,144,-193,-208,39
1586,1114,4733,-319,-5378,-734,169,-85,62
1586,1114,4733,-444,-5362,-36,265,-212,412
1557,1094,4718,-571,-4887,-689,456,-113,278
1557,1094,4718,-248,-5178,-836,661,-105,375
1557,1094,4718,921,-5581,-578,781,-347,495
1557,1094,4718,-396,-4936,-1022,1007,-257,678
1557,1094,4718,-628,-5080,-374,1228,-225,1003
1557,1094,4718,-552,-4814,-564,1385,-282,931
1784,998,4395,-364,-5032,-331,1538,-326,1021
1784,998,4395,-688,-4880,-134,1696,-367,1153
1784,998,4395,-957,-4940,483,1910,-378,1259
1784,998,4395,-543,-5033,335,2127,-312,1392
1784,998,4395,-907,-4951,397,2287,-306,1783
1784,998,4395,-742,-4786,609,2320,-290,1674
1784,998,4395,-926,-4460,824,2238,-285,1741
2265,572,3781,-1103,-3962,1055,2103,-268,1771
2265,572,3781,-1187,-3372,1063,1988,-260,1845
2265,572,3781,5256,2438,3781,2201,-322,1234
2265,572,3781,-1871,-4105,3346,1888,-343,1187
2265,572,3781,-1723,-3193,3146,1983,-109,1244
2265,572,3781,-1233,-5745,1299,1950,-200,1505
2727,-175,3257,-1890,-3060,1597,1894,-274,1600
2727,-175,3257,-849,-2413,2060,1876,-155,1676
2727,-175,3257,-1977,-2367,1810,1767,-212,2007
2727,-175,3257,-1708,-1648,2090,1648,-187,1829
2727,-175,3257,-2075,-1669,1966,1539,-193,1784
2727,-175,3257,-2017,-1787,2128,1420,-137,1733
2985,-1046,3038,-1921,-1637,2125,1295,-182,1689
2985,-1046,3038,-2169,-1823,1380,1209,-181,1641
2985,-1046,3038,-2507,-197,2568,1171,-192,1682
2985,-1046,3038,-2865,-509,2329,1154,-173,1485
2985,-1046,3038,-2488,-686,1953,1248,-225,1435
2985,-1046,3038,-2610,-544,2271,1303,-237,1413
3063,-1838,2991,-2280,350,2997,1279,-123,1392
3063,-1838,2991,-2529,-1301,2859,1250,-23,1569
3063,-1838,2991,-3297,-53,1962,1164,-159,1587
3063,-1838,2991,-1639,-659,3640,1122,-244,1463
3063,-1838,2991,-2383,-323,2362,1234,-45,1397
3063,-1838,2991,-2665,557,3592,1220,-3,1221
3063,-1838,2991,-2496,492,1826,1205,127,1156
2979,-2535,3133,-5222,2846,4369,937,-274,1232
2979,-2535,3133,-1659,-3159,-146,1209,-338,1144
2979,-2535,3133,-9885,2665,82,1280,584,1049
2979,-2535,3133,610,1619,3995,1076,328,1230
2979,-2535,3133,-4553,159,1628,1041,301,1250
2979,-2535,3133,-1419,-149,2881,1073,489,1256
2840,-3157,3450,-3337,-13,4166,1008,366,1191
2840,-3157,3450,-3745,1487,2030,1003,317,1173
2840,-3157,3450,-2794,1536,2034,950,409,1104
2840,-3157,3450,-3020,1840,2226,897,345,1082
2840,-3157,3450,-2604,1874,2345,878,365,1035
2840,-3157,3450,-2911,1924,2205,886,380,998
2602,-3590,3777,-2898,1998,2246,876,405,961
2602,-3590,3777,-2886,1988,2430,857,410,943
2602,-3590,3777,-2856,2246,2510,863,451,948
2602,-3590,3777,-2943,2413,2208,847,483,895
2602,-3590,3777,-2958,2660,2703,822,525,852
2602,-3590,3777,-2510,2392,2221,798,593,773
2602,-3590,4289,-4522,1285,10828,1074,763,787
2370,-3879,4143,-2010,4557,-1272,787,857,974
2370,-3879,4143,-3087,3781,2799,728,703,489
2370,-3879,4143,-1932,3046,412,651,705,393
2370,-3879,4143,-2143,2937,1366,630,616,382
2370,-3879,4143,-2827,3195,1358,644,661,336
2370,-3879,4143,-3155,3296,1190,616,627,270
2109,-4067,4515,-2538,3266,1355,604,611,461
2109,-4067,4515,-2566,3308,1222,609,643,291
2109,-4067,4515,-2305,3321,931,590,674,217
2109,-4067,4515,-2937,3435,858,565,638,92
2109,-4067,4515,-2621,4221,1585,559,670,43
2109,-4067,4515,-2181,3779,879,552,636,-29
1962,-4069,4864,-2513,3875,856,581,648,-70
1962,-4069,4864,-2644,3532,802,603,655,-203
1962,-4069,4864,-2662,3596,872,572,650,-284
1962,-4069,4864,-2606,3716,714,594,645,-373
1962,-4069,4864,-2618,3636,770,595,656,-459
1962,-4069,4864,-2715,3515,703,592,675,-279
