xmag,ymag,zmag,xaccel,yaccel,zaccel,xgyro,ygyro,zgyro
664,-2981,-6950,44,196,-4017,57,-99,-115
664,-2974,-6925,75,241,-4044,54,-113,-123
664,-2974,-6925,43,253,-4069,36,-100,-124
664,-2974,-6925,26,226,-4032,36,-100,-99
664,-2974,-6925,68,266,-4055,30,-116,-121
664,-2974,-6925,54,256,-4058,44,-108,-127
664,-2974,-6925,36,246,-4095,41,-104,-92
664,-2974,-6925,25,207,-4072,67,-113,-118
664,-2974,-6925,62,240,-4063,50,-111,-122
664,-2974,-6925,78,240,-4036,45,-109,-106
678,-2959,-6967,69,305,-4067,46,-109,-131
678,-2959,-6967,73,501,-4121,25,-118,-126
678,-2959,-6967,45,261,-4062,34,-105,-123
678,-2959,-6967,80,250,-4130,56,-108,-105
678,-2959,-6967,59,5,-4034,39,-110,-116
678,-2959,-6967,79,253,-4053,47,-97,-116
678,-2959,-6967,85,237,-4090,41,-112,-106
678,-2959,-6967,61,245,-4034,33,-113,-124
678,-2959,-6967,48,276,-4037,40,-109,-121
700,-2951,-6955,95,293,-4061,34,-115,-110
700,-2951,-6955,32,283,-4093,60,-113,-126
700,-2951,-6955,93,241,-4074,48,-110,-137
700,-2951,-6955,56,250,-4063,33,-107,-95
700,-2951,-6955,48,232,-4072,52,-107,-115
700,-2951,-6955,79,271,-4050,33,-104,-116
700,-2951,-6955,60,230,-4047,62,-103,-108
700,-2951,-6955,85,226,-4042,60,-112,-130
700,-2951,-6955,54,508,-4088,27,-104,-136
665,-2951,-6946,116,230,-4074,34,-113,-95
665,-2951,-6946,80,282,-4118,35,-111,-108
665,-2951,-6946,90,20,-4052,40,-106,-126
665,-2951,-6946,87,259,-4101,42,-112,-104
665,-2951,-6946,83,261,-4116,66,-114,-122
665,-2951,-6946,54,478,-4028,41,-118,-120
665,-2951,-6946,41,235,-4029,48,-112,-110
665,-2951,-6946,60,252,-4041,48,-112,-118
665,-2951,-6946,36,228,-4050,32,-110,-127
665,-2951,-6946,85,269,-4003,39,-108,-118
672,-2925,-6939,44,264,-4017,57,-115,-108
672,-2925,-6939,47,5,-4055,29,-108,-115
672,-2925,-6939,17,263,-4087,40,-112,-122
672,-2925,-6939,127,271,-4050,48,-109,-115
672,-2925,-6939,51,505,-4028,47,-105,-125
672,-2925,-6939,71,239,-4084,43,-95,-132
672,-2925,-6939,15,241,-4076,46,-114,-98
672,-2925,-6939,53,215,-4132,22,-108,-107
672,-2925,-6939,44,240,-4069,35,-119,-111
664,-2943,-6966,55,247,-4032,51,-112,-117
664,-2943,-6966,41,291,-4056,24,-113,-123
664,-2943,-6966,49,241,-4076,43,-110,-124
664,-2943,-6966,42,246,-4058,68,-116,-114
664,-2943,-6966,69,256,-4035,35,-124,-119
664,-2943,-6966,46,240,-4045,43,-109,-134
664,-2943,-6966,112,274,-4081,56,-106,-101
664,-2943,-6966,65,259,-4026,61,-109,-116
664,-2943,-6966,42,276,-4089,39,-116,-127
692,-2937,-6939,88,227,-4043,69,-114,-125
692,-2937,-6939,56,241,-3966,58,-107,-129
692,-2937,-6939,83,251,-4072,50,-105,-121
692,-2937,-6939,79,284,-4067,57,-109,-122
692,-2937,-6939,48,215,-4048,55,-106,-117
692,-2937,-6939,3,253,-4022,36,-114,-118
692,-2937,-6939,97,257,-4092,34,-105,-106
692,-2937,-6939,116,294,-4054,55,-110,-127
692,-2937,-6939,33,237,-4076,34,-115,-129
718,-2931,-6910,-8,264,-3989,42,-108,-142
718,-2931,-6910,98,250,-4053,33,-109,-136
718,-2931,-6910,72,260,-4030,37,-114,-134
718,-2931,-6910,45,233,-4093,49,-111,-129
718,-2931,-6910,97,243,-4043,52,-106,-129
718,-2931,-6910,38,274,-4064,37,-114,-107
718,-2931,-6910,77,267,-4078,36,-106,-110
718,-2931,-6910,59,241,-4031,44,-121,-96
718,-2931,-6910,26,236,-4037,36,-96,-100
699,-2919,-6940,95,257,-4076,45,-105,-108
699,-2919,-6940,49,263,-4062,46,-114,-118
699,-2919,-6940,66,242,-4078,43,-113,-107
699,-2919,-6940,74,246,-4018,36,-110,-104
699,-2919,-6940,58,256,-4033,49,-106,-106
699,-2919,-6940,56,234,-4154,53,-106,-103
699,-2919,-6940,58,230,-3958,40,-111,-102
699,-2919,-6940,49,265,-4086,47,-107,-106
699,-2919,-6940,80,252,-4093,40,-109,-104
684,-2930,-6973,56,272,-4057,51,-105,-121
684,-2930,-6973,44,211,-4110,37,-111,-124
684,-2930,-6973,61,277,-4076,31,-109,-120
684,-2930,-6973,53,259,-4164,44,-111,-127
684,-2930,-6973,45,241,-4090,31,-107,-108
684,-2930,-6973,71,501,-4024,42,-114,-115
684,-2930,-6973,53,5,-4026,46,-112,-116
684,-2930,-6973,52,274,-3977,46,-108,-129
684,-2930,-6973,41,237,-4054,62,-113,-131
684,-2930,-6973,59,293,-4054,45,-113,-132
694,-2995,-6957,76,268,-4032,42,-113,-120
694,-2995,-6957,63,261,-4086,35,-110,-123
694,-2995,-6957,46,250,-4061,48,-104,-108
694,-2995,-6957,47,261,-4083,42,-103,-97
694,-2995,-6957,61,235,-4075,36,-108,-90
694,-2995,-6957,44,244,-4080,39,-99,-92
694,-2995,-6957,67,501,-4037,29,-98,-100
694,-2995,-6957,67,244,-3990,32,-111,-108
694,-2995,-6957,41,245,-4061,44,-114,-120
666,-2935,-6946,47,253,-4024,50,-107,-119
666,-2935,-6946,70,268,-4043,53,-104,-117
666,-2935,-6946,50,236,-4055,49,-110,-117
666,-2935,-6946,46,264,-4059,31,-100,-111
666,-2935,-6946,67,249,-4057,27,-114,-113
666,-2935,-6946,42,256,-4050,41,-111,-104
666,-2935,-6946,62,233,-4006,50,-111,-116
666,-2935,-6946,73,242,-4030,52,-108,-115
666,-2935,-6946,13,259,-4055,49,-101,-114
678,-2920,-6950,27,233,-4057,40,-100,-102
678,-2920,-6950,48,258,-4067,43,-109,-110
678,-2920,-6950,58,242,-4044,32,-103,-101
678,-2920,-6950,50,250,-4071,39,-111,-96
678,-2920,-6950,67,249,-4001,24,-110,-104
678,-2920,-6950,65,509,-4012,36,-111,-99
678,-2920,-6950,59,253,-4134,50,-108,-109
678,-2920,-6950,59,271,-4042,44,-111,-113
678,-2920,-6950,51,257,-4145,47,-114,-125
661,-2912,-6994,-2,258,-4031,43,-104,-114
661,-2912,-6994,101,283,-4105,35,-116,-106
661,-2912,-6994,63,261,-4058,54,-106,-108
661,-2912,-6994,55,241,-4036,53,-112,-107
661,-2912,-6994,54,210,-4036,41,-110,-109
661,-2912,-6994,33,233,-4084,54,-110,-122
661,-2912,-6994,92,230,-4058,41,-109,-122
661,-2912,-6994,85,259,-4136,35,-110,-120
661,-2912,-6994,36,274,-4084,26,-97,-91
662,-2971,-6952,59,253,-4060,36,-110,-103
662,-2971,-6952,76,262,-4089,54,-112,-108
662,-2971,-6952,57,234,-4044,62,-113,-120
662,-2971,-6952,52,243,-4073,60,-108,-119
662,-2971,-6952,21,277,-4055,61,-105,-116
662,-2971,-6952,32,194,-4028,39,-107,-106
662,-2971,-6952,56,236,-4052,44,-108,-92
662,-2971,-6952,68,268,-4074,42,-115,-93
662,-2971,-6952,75,245,-4070,48,-109,-93
687,-2977,-6937,61,263,-4074,47,-106,-112
687,-2977,-6937,78,240,-3992,62,-108,-110
687,-2977,-6937,51,301,-4087,50,-112,-114
687,-2977,-6937,70,240,-4079,47,-109,-110
687,-2977,-6937,67,255,-3987,28,-101,-107
687,-2977,-6937,58,270,-4079,57,-120,-118
687,-2977,-6937,44,198,-4031,42,-104,-125
687,-2977,-6937,24,266,-3974,44,-107,-131
687,-2977,-6937,57,263,-4091,52,-110,-125
659,-2960,-6987,38,264,-4082,34,-121,-128
659,-2960,-6987,73,233,-4020,29,-109,-127
659,-2960,-6987,72,268,-4028,43,-113,-97
659,-2960,-6987,64,2,-4049,48,-113,-108
659,-2960,-6987,78,250,-4042,52,-108,-117
659,-2960,-6987,54,256,-4026,37,-115,-124
659,-2960,-6987,45,265,-4045,39,-109,-119
659,-2960,-6987,44,246,-4048,43,-107,-115
659,-2960,-6987,53,253,-4041,38,-105,-105
706,-2950,-6968,49,272,-4031,42,-109,-114
706,-2950,-6968,43,303,-4042,54,-111,-117
706,-2950,-6968,71,271,-4014,32,-111,-119
706,-2950,-6968,79,249,-4072,77,-105,-115
706,-2950,-6968,87,255,-4082,62,-109,-113
706,-2950,-6968,60,254,-4026,56,-113,-122
706,-2950,-6968,104,252,-4075,27,-109,-117
706,-2950,-6968,57,271,-4067,40,-110,-124
706,-2950,-6968,64,242,-4051,48,-118,-133
663,-2942,-6989,32,278,-4057,36,-111,-134
663,-2942,-6989,60,256,-4078,60,-108,-100
663,-2942,-6989,56,262,-4110,55,-101,-92
663,-2942,-6989,92,240,-4071,50,-103,-98
663,-2942,-6989,55,237,-4002,46,-101,-103
663,-2942,-6989,66,256,-4058,38,-99,-109
663,-2942,-6989,58,486,-4103,37,-107,-101
663,-2942,-6989,96,510,-4044,60,-105,-109
663,-2942,-6989,25,3,-4010,29,-117,-106
664,-2949,-6966,94,252,-4031,45,-108,-101
664,-2949,-6966,62,240,-4024,33,-105,-129
664,-2949,-6966,86,506,-4080,32,-106,-116
664,-2949,-6966,48,262,-4041,26,-108,-119
664,-2949,-6966,135,243,-4099,22,-107,-126
664,-2949,-6966,71,267,-4100,65,-107,-98
664,-2949,-6966,68,248,-4326,38,-109,-121
664,-2949,-6966,82,262,-4070,25,-109,-119
664,-2949,-6966,77,9,-4073,65,-106,-104
686,-2958,-6985,49,509,-4112,54,-107,-120
686,-2958,-6985,78,284,-4066,28,-108,-108
686,-2958,-6985,65,254,-4069,49,-115,-115
686,-2958,-6985,58,240,-4035,21,-109,-104
686,-2958,-6985,59,497,-4074,38,-110,-111
686,-2958,-6985,60,219,-4045,62,-110,-114
686,-2958,-6985,62,270,-4083,40,-115,-123
686,-2958,-6985,51,255,-4064,39,-112,-102
686,-2958,-6985,44,258,-4066,38,-120,-92
700,-2971,-6944,41,243,-4038,42,-103,-94
700,-2971,-6944,76,258,-4018,29,-103,-109
700,-2971,-6944,62,257,-4015,45,-107,-118
700,-2971,-6944,51,237,-4047,35,-101,-110
700,-2971,-6944,46,254,-4062,36,-106,-101
700,-2971,-6944,39,291,-4117,45,-107,-104
700,-2971,-6944,87,253,-4004,56,-112,-110
700,-2971,-6944,45,265,-4073,44,-115,-121
700,-2971,-6944,39,229,-4005,41,-107,-111
663,-2922,-6953,33,249,-4083,57,-101,-113
663,-2922,-6953,42,286,-4072,46,-106,-104
663,-2922,-6953,58,10,-4054,46,-116,-103
663,-2922,-6953,50,268,-4066,39,-107,-110
663,-2922,-6953,78,247,-4032,44,-114,-115
663,-2922,-6953,70,262,-4063,43,-111,-113
663,-2922,-6953,84,262,-4077,38,-113,-117
663,-2922,-6953,91,253,-4083,36,-111,-113
663,-2922,-6953,26,238,-4047,36,-101,-115
659,-2921,-6980,98,262,-4054,36,-100,-100
659,-2921,-6980,59,273,-4331,35,-103,-95
659,-2921,-6980,43,273,-4034,71,-102,-99
659,-2921,-6980,35,251,-4047,46,-112,-109
659,-2921,-6980,22,244,-4025,51,-104,-112
659,-2921,-6980,74,226,-4060,53,-113,-117
659,-2921,-6980,51,261,-4047,48,-109,-93
659,-2921,-6980,93,265,-4078,45,-105,-88
659,-2921,-6980,39,243,-4070,57,-103,-94
649,-2941,-6971,59,263,-4073,34,-99,-93
649,-2941,-6971,64,253,-4061,48,-103,-105
649,-2941,-6971,37,243,-4030,43,-100,-94
649,-2941,-6971,61,505,-4062,58,-109,-101
649,-2941,-6971,73,235,-4109,52,-114,-101
649,-2941,-6971,65,215,-4075,50,-110,-124
649,-2941,-6971,73,255,-4082,36,-109,-127
649,-2941,-6971,67,263,-4026,50,-117,-93
649,-2941,-6971,42,254,-4335,63,-104,-77
636,-2951,-6960,39,273,-4049,45,-105,-90
636,-2951,-6960,48,260,-4013,35,-120,-111
636,-2951,-6960,63,269,-4046,50,-108,-109
636,-2951,-6960,52,252,-4034,56,-116,-111
636,-2951,-6960,78,262,-4049,45,-110,-117
636,-2951,-6960,71,3,-4081,49,-105,-107
636,-2951,-6960,60,258,-4068,46,-114,-112
636,-2951,-6960,68,248,-4074,57,-106,-118
636,-2951,-6960,68,249,-3990,54,-107,-108
665,-2966,-6985,71,243,-4067,46,-112,-120
665,-2966,-6985,85,271,-4047,60,-109,-122
665,-2966,-6985,19,237,-4002,37,-111,-128
665,-2966,-6985,25,253,-4009,55,-108,-125
665,-2966,-6985,73,291,-4090,40,-115,-122
665,-2966,-6985,81,267,-4061,50,-117,-128
665,-2966,-6985,59,245,-4062,48,-113,-139
665,-2966,-6985,50,232,-4042,48,-108,-135
665,-2966,-6985,35,251,-4072,61,-109,-89
678,-2943,-6960,75,263,-4060,39,-103,-96
678,-2943,-6960,73,271,-4100,37,-109,-109
678,-2943,-6960,71,242,-3959,30,-111,-120
678,-2943,-6960,46,231,-3975,50,-108,-130
678,-2943,-6960,48,225,-4071,58,-112,-133
678,-2943,-6960,55,263,-4083,46,-113,-124
678,-2943,-6960,10,232,-4018,43,-105,-127
678,-2943,-6960,75,251,-4100,52,-103,-115
678,-2943,-6960,52,248,-4079,60,-109,-116
689,-2936,-6945,24,250,-4031,48,-101,-115
689,-2936,-6945,79,239,-4026,64,-126,-98
689,-2936,-6945,20,252,-4042,41,-104,-96
689,-2936,-6945,56,264,-4053,53,-105,-95
689,-2936,-6945,68,226,-4026,52,-124,-86
689,-2936,-6945,32,268,-4049,44,-109,-94
689,-2936,-6945,62,256,-4026,34,-106,-101
689,-2936,-6945,66,242,-4029,24,-114,-111
689,-2936,-6945,59,9,-4040,47,-110,-107
670,-2917,-6954,43,241,-4072,27,-108,-99
670,-2917,-6954,66,246,-4064,53,-110,-136
670,-2917,-6954,74,260,-4058,33,-110,-107
670,-2917,-6954,81,279,-4072,48,-110,-104
670,-2917,-6954,56,231,-4077,43,-104,-101
670,-2917,-6954,60,258,-4077,39,-113,-136
670,-2917,-6954,43,249,-4031,42,-115,-130
670,-2917,-6954,66,226,-4025,47,-121,-101
670,-2917,-6954,50,282,-4041,56,-119,-116
666,-2946,-6985,78,262,-4104,47,-120,-117
666,-2946,-6985,75,269,-4268,28,-116,-109
666,-2946,-6985,47,229,-4101,40,-104,-122
666,-2946,-6985,57,263,-4076,42,-112,-124
666,-2946,-6985,48,230,-4030,48,-112,-123
666,-2946,-6985,50,298,-4081,44,-109,-122
666,-2946,-6985,65,243,-3844,36,-116,-100
666,-2946,-6985,78,282,-4069,38,-116,-104
666,-2946,-6985,41,243,-4037,39,-118,-110
647,-2951,-6922,58,303,-4089,73,-112,-110
647,-2951,-6922,65,269,-4060,50,-107,-110
647,-2951,-6922,58,200,-4075,35,-108,-119
647,-2951,-6922,49,247,-4120,52,-117,-120
647,-2951,-6922,69,245,-3968,43,-108,-110
647,-2951,-6922,70,242,-3989,32,-117,-121
647,-2951,-6922,79,511,-4085,55,-117,-128
647,-2951,-6922,71,224,-4074,26,-113,-127
647,-2951,-6922,109,285,-4084,40,-114,-127
666,-2931,-6944,76,242,-4107,30,-113,-125
666,-2931,-6944,49,223,-4032,32,-108,-102
666,-2931,-6944,70,246,-4038,32,-104,-93
666,-2931,-6944,78,254,-4052,46,-113,-91
