xmag,ymag,zmag,xaccel,yaccel,zaccel,xgyro,ygyro,zgyro
-1407,-1575,7302,1678,-208,-4332,120,-97,-2217
-1401,-1611,7348,1707,-313,-4118,123,-125,-2225
-1401,-1611,7348,1614,-417,-4181,116,-143,-2193
-1401,-1611,7348,1627,-427,-4186,66,-148,-2162
-1401,-1611,7348,1691,-325,-4199,43,-163,-2089
-1401,-1611,7348,1649,-201,-4159,-229,-176,-2076
-1401,-1611,7348,1703,-61,-4226,-34,-192,-2071
-1401,-1611,7348,1790,-12,-4327,-39,-196,-2071
-1401,-1611,7348,1762,123,-4267,-35,-212,-2060
-1401,-1611,7348,1701,135,-4232,-40,-207,-2050
-1287,-1933,7306,1739,77,-4268,13,-228,-1801
-1287,-1933,7306,1711,77,-4212,30,-237,-2079
-1287,-1933,7306,1755,143,-4227,28,-238,-2071
-1287,-1933,7306,1879,155,-4253,58,-241,-2056
-1287,-1933,7306,1985,187,-4141,100,-225,-2050
-1287,-1933,7306,2040,193,-4108,65,-207,-2059
-1287,-1933,7306,2145,163,-4162,36,-169,-2067
-1287,-1933,7306,2033,81,-4101,31,-158,-2078
-1287,-1933,7306,1970,-123,-4080,5,-141,-2076
-1084,-2265,7331,1856,-334,-4127,9,-128,-2067
-1084,-2265,7331,1716,-592,-4166,-2,-125,-2045
-1084,-2265,7331,1580,-797,-4314,241,-136,-2033
-1084,-2265,7331,1437,-945,-4253,-30,-146,-1992
-1084,-2265,7331,1340,-1014,-4279,-78,-174,-1944
-1084,-2265,7331,1250,-1043,-4301,-81,-204,-1924
-1084,-2265,7331,1214,-912,-4259,-127,-216,-1887
-1084,-2265,7331,1305,-687,-4272,-143,-235,-1869
-1084,-2265,7331,1378,-454,-4164,-162,-245,-1868
-828,-2498,7325,1408,-246,-4144,-193,-248,-1866
-828,-2498,7325,1473,-29,-4101,-159,-249,-1862
-828,-2498,7325,1486,102,-4016,-148,-238,-1895
-828,-2498,7325,1535,213,-4050,-145,-217,-1916
-828,-2498,7325,1639,299,-3961,-126,-208,-1931
-828,-2498,7325,1638,228,-3921,-117,-178,-1960
-828,-2498,7325,1578,74,-3937,-94,-151,-1957
-828,-2498,7325,1544,-22,-3927,-100,-133,-1990
-828,-2498,7325,1547,-131,-3909,-88,-105,-1991
-828,-2498,7325,1495,-219,-3948,-88,-93,-1995
-499,-2727,7294,1486,-312,-3938,-48,-83,-1986
-499,-2727,7294,1410,-185,-4007,-60,-81,-1989
-499,-2727,7294,1416,-164,-3980,-65,-79,-2004
-499,-2727,7294,1474,-78,-4021,-73,-70,-1978
-499,-2727,7294,1485,-185,-4063,-62,-71,-2000
-499,-2727,7294,1420,52,-4011,-60,-61,-2004
-499,-2727,7294,1457,77,-3934,-57,-73,-2027
-499,-2727,7294,1494,89,-4038,-57,-69,-2038
-499,-2727,7294,1526,62,-3980,-25,-49,-2037
-185,-2833,7253,1597,69,-4033,4,-62,-2043
-185,-2833,7253,1605,69,-3982,-4,-71,-2066
-185,-2833,7253,1651,93,-4042,5,-67,-2070
-185,-2833,7253,1670,42,-4021,17,-63,-2054
-185,-2833,7253,1722,-54,-4012,-20,-71,-2070
-185,-2833,7253,1708,-102,-4024,-26,-67,-1803
-185,-2833,7253,1706,-144,-4072,-32,-76,-2068
-185,-2833,7253,1716,-154,-4211,-67,-86,-2077
-185,-2833,7253,1746,-156,-4059,-79,-80,-2066
161,-2928,7261,1761,-87,-4146,-83,-86,-2044
161,-2928,7261,1798,-11,-4070,-106,-76,-2035
161,-2928,7261,1835,153,-4082,-92,-76,-2035
161,-2928,7261,1885,285,-4069,-89,-73,-2052
161,-2928,7261,1942,416,-4068,-77,-54,-2057
161,-2928,7261,2011,433,-4088,-96,-37,-2068
161,-2928,7261,2003,523,-4059,-76,-19,-2082
161,-2928,7261,1907,451,-4071,-65,-6,-2103
161,-2928,7261,1917,465,-4077,-34,2,-2106
517,-2894,7242,1819,385,-4109,-5,255,-2105
517,-2894,7242,1815,341,-4139,7,5,-2108
517,-2894,7242,1776,228,-4141,58,241,-2095
517,-2894,7242,1765,111,-4148,93,-8,-2087
517,-2894,7242,1744,22,-4078,107,-36,-2078
517,-2894,7242,1761,-11,-4164,118,-39,-2060
517,-2894,7242,1755,-73,-4093,161,-48,-2030
517,-2894,7242,1756,-42,-4050,156,-58,-2017
517,-2894,7242,1741,-39,-4142,134,-71,-2005
827,-2747,7229,1727,-55,-4088,85,-69,-1989
827,-2747,7229,1682,59,-4205,89,-60,-1972
827,-2747,7229,1615,83,-3874,56,-47,-1960
827,-2747,7229,1580,168,-3893,28,-20,-1938
827,-2747,7229,1637,193,-3934,16,-22,-1929
827,-2747,7229,1602,276,-4012,0,9,-1913
827,-2747,7229,1568,270,-3959,-3,27,-1907
827,-2747,7229,1474,226,-3965,6,43,-1886
827,-2747,7229,1464,260,-4013,24,45,-1872
1061,-2562,7244,1445,25,-4081,60,48,-1867
1061,-2562,7244,1341,295,-4068,44,47,-1853
1061,-2562,7244,1383,431,-4213,42,43,-1858
1061,-2562,7244,1352,271,-4120,15,28,-1847
1061,-2562,7244,1534,245,-4245,30,20,-1843
1061,-2562,7244,1320,266,-4285,32,11,-1835
1061,-2562,7244,1346,354,-4285,-7,-11,-1832
1061,-2562,7244,1294,372,-4280,-7,-21,-1815
1061,-2562,7244,1418,410,-4288,-25,-36,-1822
1061,-2306,7238,1461,459,-4389,-56,-41,-1812
1227,-2353,7238,1515,411,-4138,-43,-56,-1797
1227,-2353,7238,1509,279,-4367,-60,-70,-1808
1227,-2353,7238,1569,241,-4403,-42,-80,-1816
1227,-2353,7238,1595,133,-4457,245,-94,-1804
1227,-2353,7238,1302,79,-4416,39,-101,-1786
1227,-2353,7238,1516,68,-4449,71,-125,-1777
1227,-2353,7238,1441,61,-4418,103,-137,-1768
1227,-2353,7238,1429,-23,-4434,145,-166,-1751
1227,-2353,7238,1380,12,-4372,140,-180,-1725
1384,-2169,7267,1351,15,-4348,160,-204,-1714
1384,-2169,7267,1368,4,-4212,169,-219,-1705
1384,-2169,7267,1429,47,-4181,135,-215,-1664
1384,-2169,7267,1456,82,-4189,101,-217,-1670
1384,-2169,7267,1466,116,-4137,47,-193,-1663
1384,-2169,7267,1513,119,-4321,16,-195,-1652
1384,-2169,7267,1458,26,-4098,-6,-181,-1652
1384,-2169,7267,1426,-90,-4122,-42,-160,-1654
1384,-2169,7267,1342,-240,-4130,-31,-158,-1622
1487,-1872,7298,1250,-322,-4268,-1,-159,-1608
1487,-1872,7298,1202,-386,-4279,0,-176,-1600
1487,-1872,7298,1201,-443,-4416,-25,-193,-1594
1487,-1872,7298,1084,-456,-4311,-25,-210,-1575
1487,-1872,7298,1013,-483,-4222,-34,-243,-1559
1487,-1872,7298,1005,-137,-4347,-45,-265,-1569
1487,-1872,7298,1084,-32,-4271,-66,-273,-1573
1487,-1872,7298,1124,91,-4174,-50,-280,-1595
1487,-1872,7298,1178,204,-4100,-22,-286,-1620
1571,-1616,7226,1205,327,-3989,-42,-282,-1644
1571,-1616,7226,1227,366,-4003,-18,-269,-1680
1571,-1616,7226,1523,485,-3953,9,-251,-1713
1571,-1616,7226,1320,540,-4017,13,-232,-1734
1571,-1616,7226,1256,604,-3804,21,-209,-1764
1571,-1616,7226,1274,544,-3884,48,-174,-1796
1571,-1616,7226,1253,543,-3780,35,-146,-1813
1571,-1616,7226,1141,501,-3827,68,-127,-1842
1571,-1616,7226,1104,426,-3797,86,-103,-1876
1595,-1310,7167,1035,393,-3865,80,-91,-1908
1595,-1310,7167,1064,416,-3908,74,-77,-1901
1595,-1310,7167,1087,517,-3990,84,-67,-1929
1595,-1310,7167,1148,554,-4060,90,-56,-1944
1595,-1310,7167,1218,634,-4063,109,-74,-1969
1595,-1310,7167,1299,683,-4153,105,-70,-1989
1595,-1310,7167,1362,782,-4087,102,-91,-2019
1595,-1310,7167,1453,783,-4133,102,-105,-2046
1595,-1310,7167,1534,746,-4125,117,-107,-2083
1495,-961,7204,1566,688,-4125,99,-124,-2107
1495,-961,7204,1619,635,-4126,97,-136,-2140
1495,-961,7204,1611,651,-4138,79,-158,-2152
1495,-961,7204,1645,549,-4075,84,-175,-2173
1495,-961,7204,1696,262,-4070,84,-182,-2190
1495,-961,7204,1695,439,-4027,64,-183,-2208
1495,-961,7204,1708,382,-4041,51,-188,-2218
1495,-961,7204,1755,349,-3936,37,-187,-2231
1495,-961,7204,1738,350,-3947,37,-182,-2251
1308,-607,7175,1776,366,-3891,24,-182,-2236
1308,-607,7175,1545,362,-3951,4,-173,-2252
1308,-607,7175,1831,384,-3906,-4,-167,-2264
1308,-607,7175,1874,412,-3987,-10,-152,-2265
1308,-607,7175,1927,385,-3977,-17,-157,-2288
1308,-607,7175,1975,385,-4030,-36,-140,-2292
1308,-607,7175,2063,417,-4086,-63,-143,-2297
1308,-607,7175,2085,421,-4060,-104,-137,-2311
